       X        Y   Velocity Heading(deg)
   425.4    602.3       1.00        111.3
   424.6    604.2       1.00        111.4
   423.9    606.1       1.00        111.6
   423.2    607.9       1.00        111.7
   422.4    609.8       1.00        111.8
   421.7    611.6       1.00        112.0
   420.9    613.5       1.00        112.1
   420.2    615.3       1.00        112.2
   419.4    617.2       1.00        112.3
   418.6    619.0       1.00        112.5
   417.9    620.9       1.00        112.6
   417.1    622.7       1.00        112.7
   416.3    624.6       1.00        112.9
   415.6    626.4       1.00        113.0
   414.8    628.3       1.00        113.2
   414.0    630.1       1.00        113.3
   413.2    631.9       1.00        113.4
   412.4    633.8       1.00        113.6
   411.6    635.6       1.00        113.7
   410.8    637.4       1.00        113.9
   410.0    639.3       1.00        114.0
   409.2    641.1       1.00        114.2
   408.3    642.9       1.00        114.3
   407.5    644.7       1.00        114.5
   406.7    646.5       1.00        114.6
   405.8    648.4       1.00        114.8
   405.0    650.2       1.00        115.0
   404.1    652.0       1.00        115.2
   403.3    653.8       1.00        115.3
   402.4    655.6       1.00        115.5
   401.6    657.4       1.00        115.7
   400.7    659.2       1.00        115.9
   399.8    661.0       1.00        116.2
   398.9    662.8       1.00        116.4
   398.0    664.6       1.00        116.6
   397.1    666.4       1.00        116.9
   396.2    668.2       1.00        117.1
   395.3    669.9       1.00        117.4
   394.4    671.7       1.00        117.7
   393.5    673.5       1.00        118.0
   392.5    675.2       1.00        118.3
   391.6    677.0       1.00        118.7
   390.6    678.7       1.00        119.1
   389.6    680.5       1.00        119.5
   388.6    682.2       1.00        120.0
   387.6    684.0       1.00        120.5
   386.6    685.7       1.00        121.1
   385.6    687.4       1.00        121.7
   384.5    689.1       1.00        122.4
   383.4    690.8       1.00        123.2
   382.3    692.4       1.00        124.2
   381.2    694.1       1.00        125.4
   380.0    695.7       1.00        126.8
   378.8    697.3       1.00        128.5
   377.5    698.8       1.00        130.9
   376.1    700.3       1.00        134.1
   374.7    701.7       1.00        139.0
   373.1    702.9       0.99        148.0
   371.3    703.8       0.99        159.4
   369.4    704.3       1.00        168.1
   367.4    704.6       1.00        173.3
   365.4    704.8       1.00        176.9
   363.4    704.8       1.00        179.4
   361.4    704.8       1.00       -178.6
   359.4    704.7       1.00       -177.0
   357.4    704.6       1.00       -175.7
   355.5    704.4       1.00       -174.6
   353.5    704.2       1.00       -173.7
   351.5    704.0       1.00       -172.8
   349.5    703.7       1.00       -172.1
   347.5    703.4       1.00       -171.5
   345.5    703.1       1.00       -170.9
   343.6    702.8       1.00       -170.3
   341.6    702.5       1.00       -169.8
   339.6    702.1       1.00       -169.4
   337.7    701.7       1.00       -169.0
   335.7    701.3       1.00       -168.6
   333.7    700.9       1.00       -168.2
   331.8    700.5       1.00       -167.9
   329.8    700.1       1.00       -167.6
   327.9    699.7       1.00       -167.2
   325.9    699.2       1.00       -166.9
   324.0    698.8       1.00       -166.7
   322.0    698.3       1.00       -166.4
   320.1    697.8       1.00       -166.1
   318.2    697.3       1.00       -165.9
   316.2    696.8       1.00       -165.6
   314.3    696.3       1.00       -165.4
   312.3    695.8       1.00       -165.2
   310.4    695.3       1.00       -165.0
   308.5    694.8       1.00       -164.7
   306.6    694.3       1.00       -164.5
   304.6    693.7       1.00       -164.3
   302.7    693.2       1.00       -164.1
   300.8    692.6       1.00       -163.9
   298.9    692.1       1.00       -163.7
   296.9    691.5       1.00       -163.5
   295.0    690.9       1.00       -163.3
   293.1    690.4       1.00       -163.1
   291.2    689.8       1.00       -162.9
   289.3    689.2       1.00       -162.7
   287.4    688.6       1.00       -162.5
   285.5    688.0       1.00       -162.3
   283.6    687.4       1.00       -162.1
   281.7    686.8       1.00       -161.9
   279.8    686.1       1.00       -161.7
   277.9    685.5       1.00       -161.5
   276.0    684.9       1.00       -161.3
   274.1    684.2       1.00       -161.1
   272.2    683.6       1.00       -160.8
   270.3    682.9       1.00       -160.6
   268.4    682.2       1.00       -160.4
   266.5    681.6       1.00       -160.1
   264.6    680.9       1.00       -159.9
   262.8    680.2       1.00       -159.6
   260.9    679.5       1.00       -159.3
   259.0    678.8       1.00       -159.0
   257.2    678.1       1.00       -158.7
   255.3    677.3       1.00       -158.4
   253.4    676.6       1.00       -158.0
   251.6    675.8       1.00       -157.6
   249.7    675.1       1.00       -157.2
   247.9    674.3       1.00       -156.7
   246.1    673.5       1.00       -156.2
   244.2    672.7       1.00       -155.6
   242.4    671.8       1.00       -155.0
   240.6    671.0       1.00       -154.2
   238.8    670.1       1.00       -153.3
   237.0    669.2       1.00       -152.2
   235.3    668.2       1.00       -150.8
   233.6    667.2       1.00       -149.0
   231.9    666.2       1.00       -146.4
   230.2    665.0       1.00       -142.2
   228.7    663.7       1.00       -134.7
   227.4    662.2       1.00       -126.5
   226.3    660.5       1.00       -121.0
   225.4    658.8       1.00       -117.6
   224.5    657.0       1.00       -115.1
   223.7    655.1       1.00       -113.3
   222.9    653.3       1.00       -111.8
   222.2    651.4       1.00       -110.6
   221.5    649.5       1.00       -109.6
   220.8    647.7       1.00       -108.8
   220.2    645.8       1.00       -108.0
   219.6    643.8       1.00       -107.4
   219.0    641.9       1.00       -106.8
   218.4    640.0       1.00       -106.2
   217.9    638.1       1.00       -105.7
   217.4    636.2       1.00       -105.3
   216.8    634.2       1.00       -104.9
   216.3    632.3       1.00       -104.5
   215.8    630.4       1.00       -104.1
   215.3    628.4       1.00       -103.8
   214.9    626.5       1.00       -103.5
   214.4    624.5       1.00       -103.2
   214.0    622.6       1.00       -102.9
   213.5    620.6       1.00       -102.6
   213.1    618.7       1.00       -102.3
   212.7    616.7       1.00       -102.0
   212.3    614.8       1.00       -101.8
   211.9    612.8       1.00       -101.5
   211.5    610.8       1.00       -101.3
   211.1    608.9       1.00       -101.0
   210.7    606.9       1.00       -100.8
   210.3    605.0       1.00       -100.5
   210.0    603.0       1.00       -100.3
   209.6    601.0       1.00       -100.1
   209.3    599.0       1.00        -99.8
   208.9    597.1       1.00        -99.6
   208.6    595.1       1.00        -99.3
   208.3    593.1       1.00        -99.1
   208.0    591.2       1.00        -98.8
   207.7    589.2       1.00        -98.6
   207.4    587.2       1.00        -98.3
   207.1    585.2       1.00        -98.0
   206.8    583.2       1.00        -97.8
   206.5    581.3       1.00        -97.5
   206.3    579.3       1.00        -97.1
   206.0    577.3       1.00        -96.8
   205.8    575.3       1.00        -96.4
   205.6    573.3       1.00        -96.1
   205.4    571.3       1.00        -95.6
   205.2    569.3       1.00        -95.2
   205.0    567.3       1.00        -94.7
   204.9    565.3       1.00        -94.1
   204.7    563.3       1.00        -93.4
   204.6    561.4       1.00        -92.6
   204.6    559.4       1.00        -91.6
   204.5    557.4       1.00        -90.4
   204.5    555.4       1.00        -88.8
   204.6    553.4       1.00        -86.4
   204.8    551.4       1.00        -82.4
   205.1    549.4       1.00        -75.0
   205.8    547.5       1.00        -67.1
   206.7    545.7       1.00        -62.2
   207.7    544.0       1.00        -59.1
   208.8    542.3       1.00        -56.9
   209.9    540.6       1.00        -55.2
   211.0    539.0       1.00        -54.0
   212.2    537.4       1.00        -52.9
   213.4    535.8       1.00        -52.1
   214.7    534.2       1.00        -51.4
   215.9    532.7       1.00        -50.7
   217.2    531.1       1.00        -50.2
   218.5    529.6       1.00        -49.7
   219.8    528.1       1.00        -49.3
   221.1    526.6       1.00        -48.9
   222.4    525.1       1.00        -48.6
   223.8    523.6       1.00        -48.3
   225.1    522.1       1.00        -48.0
   226.4    520.6       1.00        -47.8
   227.8    519.1       1.00        -47.5
   229.1    517.6       1.00        -47.3
   230.5    516.2       1.00        -47.1
   231.9    514.7       1.00        -47.0
   233.2    513.3       1.00        -46.8
   234.6    511.8       1.00        -46.7
   236.0    510.3       1.00        -46.5
   237.3    508.9       1.00        -46.4
   238.7    507.4       1.00        -46.3
   240.1    506.0       1.00        -46.2
   241.5    504.6       1.00        -46.1
   242.9    503.1       1.00        -46.0
   244.3    501.7       1.00        -45.9
   245.7    500.2       1.00        -45.9
   247.1    498.8       1.00        -45.8
   248.4    497.4       1.00        -45.8
   249.8    495.9       1.00        -45.8
   251.2    494.5       1.00        -45.8
   252.6    493.1       1.00        -45.8
   254.0    491.6       1.00        -45.8
   255.4    490.2       1.00        -45.9
   256.8    488.8       1.00        -46.0
   258.2    487.3       1.00        -46.2
   259.6    485.9       1.00        -46.4
   261.0    484.4       1.00        -46.7
   262.3    483.0       1.00        -47.2
   263.7    481.5       1.00        -48.0
   265.0    480.0       1.00        -48.6
