       X        Y   Velocity Heading(deg)
   257.3    376.6       1.00       -149.4
   255.6    375.6       1.00       -149.1
   253.9    374.5       1.00       -148.7
   252.2    373.5       1.00       -148.4
   250.5    372.4       1.00       -148.1
   248.8    371.4       1.00       -147.8
   247.1    370.3       1.00       -147.6
   245.4    369.2       1.00       -147.3
   243.7    368.1       1.00       -147.1
   242.0    367.0       1.00       -146.9
   240.4    365.9       1.00       -146.7
   238.7    364.8       1.00       -146.5
   237.0    363.7       1.00       -146.3
   235.4    362.6       1.00       -146.1
   233.7    361.5       1.00       -145.9
   232.1    360.4       1.00       -145.7
   230.4    359.2       1.00       -145.6
   228.7    358.1       1.00       -145.4
   227.1    357.0       1.00       -145.3
   225.5    355.8       1.00       -145.1
   223.8    354.7       1.00       -145.0
   222.2    353.5       1.00       -144.8
   220.5    352.4       1.00       -144.7
   218.9    351.2       1.00       -144.6
   217.3    350.0       1.00       -144.4
   215.7    348.9       1.00       -144.3
   214.0    347.7       1.00       -144.2
   212.4    346.5       1.00       -144.1
   210.8    345.4       1.00       -143.9
   209.2    344.2       1.00       -143.8
   207.5    343.0       1.00       -143.7
   205.9    341.8       1.00       -143.6
   204.3    340.6       1.00       -143.5
   202.7    339.4       1.00       -143.4
   201.1    338.2       1.00       -143.3
   199.5    337.0       1.00       -143.2
   197.9    335.8       1.00       -143.1
   196.3    334.6       1.00       -143.0
   194.7    333.4       1.00       -142.9
   193.1    332.2       1.00       -142.8
   191.5    331.0       1.00       -142.7
   189.9    329.8       1.00       -142.6
   188.3    328.6       1.00       -142.5
   186.7    327.3       1.00       -142.4
   185.2    326.1       1.00       -142.4
   183.6    324.9       1.00       -142.3
   182.0    323.7       1.00       -142.2
   180.4    322.4       1.00       -142.1
   178.8    321.2       1.00       -142.0
   177.2    320.0       1.00       -141.9
   175.7    318.7       1.00       -141.8
   174.1    317.5       1.00       -141.8
   172.5    316.3       1.00       -141.7
   171.0    315.0       1.00       -141.6
   169.4    313.8       1.00       -141.5
   167.8    312.5       1.00       -141.4
   166.3    311.3       1.00       -141.3
   164.7    310.0       1.00       -141.3
   163.1    308.8       1.00       -141.2
   161.6    307.5       1.00       -141.1
   160.0    306.2       1.00       -141.0
   158.5    305.0       1.00       -140.9
   156.9    303.7       1.00       -140.8
   155.4    302.5       1.00       -140.8
   153.8    301.2       1.00       -140.7
   152.3    299.9       1.00       -140.6
   150.7    298.6       1.00       -140.5
   149.2    297.4       1.00       -140.4
   147.6    296.1       1.00       -140.3
   146.1    294.8       1.00       -140.3
   144.5    293.5       1.00       -140.2
   143.0    292.2       1.00       -140.1
   141.5    291.0       1.00       -140.0
   139.9    289.7       1.00       -139.9
   138.4    288.4       1.00       -139.8
   136.9    287.1       1.00       -139.7
   135.3    285.8       1.00       -139.6
   133.8    284.5       1.00       -139.6
   132.3    283.2       1.00       -139.5
   130.8    281.9       1.00       -139.4
   129.3    280.6       1.00       -139.3
   127.7    279.3       1.00       -139.2
   126.2    278.0       1.00       -139.1
   124.7    276.7       1.00       -139.0
   123.2    275.3       1.00       -138.9
   121.7    274.0       1.00       -138.8
   120.2    272.7       1.00       -138.7
   118.7    271.4       1.00       -138.6
   117.2    270.0       1.00       -138.5
   115.7    268.7       1.00       -138.4
   114.2    267.4       1.00       -138.2
   112.7    266.1       1.00       -138.1
   111.2    264.7       1.00       -138.0
   109.7    263.4       1.00       -137.9
   108.2    262.0       1.00       -137.8
   106.8    260.7       1.00       -137.6
